Preco,DataColeta,FK_IdPosto,FK_IdCombustivel
6.09,2024-08-27,1,1
6.09,2024-08-27,1,2
4.29,2024-08-27,1,3
5.95,2024-08-27,1,4
6.09,2024-08-27,2,1
6.09,2024-08-27,2,2
4.29,2024-08-27,2,3
6.09,2024-08-27,3,1
6.09,2024-08-27,3,2
4.29,2024-08-27,3,3
5.89,2024-08-27,3,4
6.09,2024-08-27,4,1
6.29,2024-08-27,4,2
4.29,2024-08-27,4,3
5.95,2024-08-27,4,4
6.09,2024-08-27,5,1
6.39,2024-08-27,5,2
5.79,2024-08-27,5,4
6.09,2024-08-27,6,1
6.09,2024-08-27,6,2
5.79,2024-08-27,6,4
6.09,2024-08-27,7,1
6.29,2024-08-27,7,2
4.39,2024-08-27,7,3
6.19,2024-08-27,7,4
6.09,2024-08-27,8,1
6.29,2024-08-27,8,2
4.29,2024-08-27,8,3
5.89,2024-08-27,8,4
6.09,2024-08-28,1,1
6.09,2024-08-28,1,2
4.29,2024-08-28,1,3
5.95,2024-08-28,1,4
5.99,2024-08-28,2,1
5.99,2024-08-28,2,2
4.14,2024-08-28,2,3
6.09,2024-08-28,3,1
6.39,2024-08-28,3,2
4.29,2024-08-28,3,3
5.89,2024-08-28,3,4
6.09,2024-08-28,4,1
6.29,2024-08-28,4,2
4.29,2024-08-28,4,3
5.95,2024-08-28,4,4
6.09,2024-08-28,5,1
6.39,2024-08-28,5,2
5.79,2024-08-28,5,4
6.09,2024-08-28,6,1
6.09,2024-08-28,6,2
5.79,2024-08-28,6,4
6.09,2024-08-28,7,1
6.29,2024-08-28,7,2
4.39,2024-08-28,7,3
6.19,2024-08-28,7,4
6.09,2024-08-28,8,1
6.29,2024-08-28,8,2
4.29,2024-08-28,8,3
5.89,2024-08-28,8,4
5.99,2024-08-29,1,1
5.99,2024-08-29,1,2
4.29,2024-08-29,1,3
5.95,2024-08-29,1,4
5.99,2024-08-29,2,1
5.99,2024-08-29,2,2
4.14,2024-08-29,2,3
6.09,2024-08-29,3,1
6.09,2024-08-29,3,2
4.24,2024-08-29,3,3
5.89,2024-08-29,3,4
5.99,2024-08-29,4,1
6.19,2024-08-29,4,2
4.29,2024-08-29,4,3
5.95,2024-08-29,4,4
6.09,2024-08-29,5,1
6.39,2024-08-29,5,2
5.79,2024-08-29,5,4
6.09,2024-08-29,6,1
6.09,2024-08-29,6,2
5.79,2024-08-29,6,4
6.09,2024-08-29,7,1
6.29,2024-08-29,7,2
4.39,2024-08-29,7,3
6.19,2024-08-29,7,4
6.09,2024-08-29,8,1
6.29,2024-08-29,8,2
4.29,2024-08-29,8,3
5.89,2024-08-29,8,4
5.99,2024-08-30,1,1
5.99,2024-08-30,1,2
4.29,2024-08-30,1,3
5.95,2024-08-30,1,4
5.99,2024-08-30,2,1
5.99,2024-08-30,2,2
4.14,2024-08-30,2,3
5.99,2024-08-30,3,1
5.99,2024-08-30,3,2
4.12,2024-08-30,3,3
5.89,2024-08-30,3,4
5.99,2024-08-30,4,1
6.19,2024-08-30,4,2
4.29,2024-08-30,4,3
5.95,2024-08-30,4,4
6.09,2024-08-30,5,1
6.39,2024-08-30,5,2
5.79,2024-08-30,5,4
6.09,2024-08-30,6,1
6.09,2024-08-30,6,2
5.79,2024-08-30,6,4
6.09,2024-08-30,7,1
6.29,2024-08-30,7,2
4.39,2024-08-30,7,3
6.19,2024-08-30,7,4
6.09,2024-08-30,8,1
6.29,2024-08-30,8,2
4.29,2024-08-30,8,3
5.89,2024-08-30,8,4
5.99,2024-08-31,1,1
5.99,2024-08-31,1,2
4.29,2024-08-31,1,3
5.95,2024-08-31,1,4
5.99,2024-08-31,2,1
5.99,2024-08-31,2,2
4.14,2024-08-31,2,3
5.99,2024-08-31,3,1
5.99,2024-08-31,3,2
4.12,2024-08-31,3,3
5.89,2024-08-31,3,4
5.99,2024-08-31,4,1
6.19,2024-08-31,4,2
4.29,2024-08-31,4,3
5.95,2024-08-31,4,4
6.09,2024-08-31,5,1
6.39,2024-08-31,5,2
5.79,2024-08-31,5,4
6.09,2024-08-31,6,1
6.39,2024-08-31,6,2
5.79,2024-08-31,6,4
6.09,2024-08-31,7,1
6.29,2024-08-31,7,2
4.39,2024-08-31,7,3
6.19,2024-08-31,7,4
6.09,2024-08-31,8,1
6.29,2024-08-31,8,2
4.29,2024-08-31,8,3
5.89,2024-08-31,8,4
5.99,2024-09-01,1,1
5.99,2024-09-01,1,2
4.29,2024-09-01,1,3
5.95,2024-09-01,1,4
5.99,2024-09-01,2,1
5.99,2024-09-01,2,2
4.14,2024-09-01,2,3
5.99,2024-09-01,3,1
5.99,2024-09-01,3,2
4.12,2024-09-01,3,3
5.89,2024-09-01,3,4
5.99,2024-09-01,4,1
6.19,2024-09-01,4,2
4.29,2024-09-01,4,3
5.95,2024-09-01,4,4
6.09,2024-09-01,5,1
6.39,2024-09-01,5,2
5.79,2024-09-01,5,4
6.09,2024-09-01,6,1
6.39,2024-09-01,6,2
5.79,2024-09-01,6,4
6.09,2024-09-01,7,1
6.29,2024-09-01,7,2
4.39,2024-09-01,7,3
6.19,2024-09-01,7,4
6.09,2024-09-01,8,1
6.29,2024-09-01,8,2
4.29,2024-09-01,8,3
5.89,2024-09-01,8,4
5.95,2024-09-03,1,1
5.95,2024-09-03,1,2
4.19,2024-09-03,1,3
5.95,2024-09-03,1,4
5.95,2024-09-03,2,1
5.95,2024-09-03,2,2
4.12,2024-09-03,2,3
5.95,2024-09-03,3,1
5.95,2024-09-03,3,2
4.12,2024-09-03,3,3
5.84,2024-09-03,3,4
5.95,2024-09-03,4,1
5.95,2024-09-03,4,2
4.19,2024-09-03,4,3
5.95,2024-09-03,4,4
5.95,2024-09-03,5,1
5.95,2024-09-03,5,2
5.89,2024-09-03,5,4
5.95,2024-09-03,6,1
5.95,2024-09-03,6,2
5.89,2024-09-03,6,4
6.09,2024-09-03,7,1
6.29,2024-09-03,7,2
4.39,2024-09-03,7,3
6.19,2024-09-03,7,4
6.09,2024-09-03,8,1
6.29,2024-09-03,8,2
4.29,2024-09-03,8,3
5.89,2024-09-03,8,4
5.95,2024-09-04,1,1
5.95,2024-09-04,1,2
4.19,2024-09-04,1,3
5.95,2024-09-04,1,4
5.95,2024-09-04,2,1
5.95,2024-09-04,2,2
4.12,2024-09-04,2,3
5.95,2024-09-04,3,1
5.95,2024-09-04,3,2
4.12,2024-09-04,3,3
5.84,2024-09-04,3,4
5.95,2024-09-04,4,1
5.95,2024-09-04,4,2
4.19,2024-09-04,4,3
5.95,2024-09-04,4,4
6.09,2024-09-04,5,1
6.09,2024-09-04,5,2
5.89,2024-09-04,5,4
6.09,2024-09-04,6,1
6.09,2024-09-04,6,2
5.89,2024-09-04,6,4
6.09,2024-09-04,7,1
6.29,2024-09-04,7,2
4.39,2024-09-04,7,3
6.19,2024-09-04,7,4
6.09,2024-09-04,8,1
6.29,2024-09-04,8,2
4.29,2024-09-04,8,3
5.89,2024-09-04,8,4
5.95,2024-09-05,1,1
5.95,2024-09-05,1,2
4.19,2024-09-05,1,3
5.95,2024-09-05,1,4
5.95,2024-09-05,2,1
5.95,2024-09-05,2,2
4.12,2024-09-05,2,3
5.95,2024-09-05,3,1
5.95,2024-09-05,3,2
4.12,2024-09-05,3,3
5.84,2024-09-05,3,4
5.95,2024-09-05,4,1
5.95,2024-09-05,4,2
4.19,2024-09-05,4,3
5.95,2024-09-05,4,4
6.09,2024-09-05,5,1
6.09,2024-09-05,5,2
5.89,2024-09-05,5,4
6.09,2024-09-05,6,1
6.09,2024-09-05,6,2
5.89,2024-09-05,6,4
6.09,2024-09-05,7,1
6.29,2024-09-05,7,2
4.39,2024-09-05,7,3
6.19,2024-09-05,7,4
6.09,2024-09-05,8,1
6.29,2024-09-05,8,2
4.29,2024-09-05,8,3
5.89,2024-09-05,8,4
5.95,2024-09-06,1,1
5.95,2024-09-06,1,2
4.19,2024-09-06,1,3
5.95,2024-09-06,1,4
5.89,2024-09-06,2,1
5.89,2024-09-06,2,2
4.12,2024-09-06,2,3
5.95,2024-09-06,3,1
5.95,2024-09-06,3,2
4.12,2024-09-06,3,3
5.84,2024-09-06,3,4
5.95,2024-09-06,4,1
5.95,2024-09-06,4,2
4.19,2024-09-06,4,3
5.95,2024-09-06,4,4
6.09,2024-09-06,5,1
6.09,2024-09-06,5,2
5.89,2024-09-06,5,4
6.09,2024-09-06,6,1
6.09,2024-09-06,6,2
5.89,2024-09-06,6,4
6.09,2024-09-06,7,1
6.29,2024-09-06,7,2
4.39,2024-09-06,7,3
6.19,2024-09-06,7,4
6.09,2024-09-06,8,1
6.29,2024-09-06,8,2
4.29,2024-09-06,8,3
5.89,2024-09-06,8,4